time,bus,P_sub_kW,Q_sub_kVar
0,129,50.31584764053321,19.913180844310812
1,129,47.5945572926193,18.836719813314037
2,129,43.34486904429724,17.1607905128339
3,129,36.58434065770777,14.486091851106758
4,129,64.85608805876097,13.235087650590197
5,129,63.446137839978434,12.653672526551217
6,129,50.74671995760838,13.26065278718465
7,129,36.341546816270665,14.404965839033766
8,129,42.34476249049379,16.781327068222968
9,129,45.47630034826611,18.85410130129111
10,129,26.562146265767694,18.23254935016165
11,129,0.13953512835840343,16.970685248617855
12,129,0.0,16.852637107274756
13,129,0.0,16.69669265821399
14,129,13.640805352672203,19.522594396773517
15,129,51.34541882104671,24.226685872705126
16,129,76.06890144206346,30.187015108627126
17,129,95.41365519921285,37.741797330823346
18,129,63.18190979908067,37.43137981738083
19,129,58.85357802978319,34.47689760902862
20,129,78.16533713094387,30.924832135452615
21,129,66.82499459819624,26.439099881602758
22,129,90.16082575542228,23.228905952165444
23,129,79.75301941085888,19.114510715148032
24,129,43.89501469816892,17.370898147439863
25,129,39.26180599354012,15.538770954131982
26,129,35.098486286226915,13.896108827091055
27,129,33.257846766197474,13.169563535930784
28,129,32.68261270218176,12.941277379566467
29,129,34.58700593331088,13.697628118079882
30,129,35.799119220040865,15.658128601797165
31,129,45.790141618720526,30.54374934325088
32,129,60.602767821293924,36.40181690545178
33,129,67.13337192456237,39.34530002961463
34,129,73.61184472595994,33.014039202805755
35,129,47.431562095233915,26.850513524826383
36,129,75.6385597127931,27.498062904836488
37,129,49.45522739351205,28.991481841991607
38,129,65.25083344799398,31.59289799678479
39,129,91.95194854918753,37.56935539428447
40,129,123.54569771724755,48.86426039346959
41,129,136.9932128493936,65.96950531973575
42,129,154.6210855263439,61.12859147055416
43,129,144.22848867126348,57.01932572548553
44,129,131.96529478547703,52.17522371155656
45,129,76.43581762149765,30.255180952530868
46,129,66.82157333258232,26.448845223821966
47,129,57.46654580118005,22.746865427940147
48,129,49.08784230847374,19.43441969699121
49,129,41.85308739742766,16.571307639816528
50,129,35.94331334461387,14.238332600263874
51,129,32.482720963802336,12.863170307111552
52,129,63.527559137810385,12.704443482308827
53,129,63.78213878655714,12.807813187227564
54,129,67.0713764330948,14.112411432754204
55,129,42.35730431601681,16.77505319980599
56,129,51.42605275517553,20.36296896659695
57,129,22.124962805747828,22.39718966444109
58,129,27.501530118183126,20.86142133927462
59,129,0.0,18.494995857571666
60,129,15.965439614067378,19.201516276791104
61,129,0.0,19.51996312695821
62,129,14.099912649534474,22.132261185349833
63,129,24.598753545276963,27.556664518313525
64,129,84.38059500472761,33.575720096858525
65,129,106.0483924909974,43.44287909188355
66,129,105.67455830922157,41.819259434304186
67,129,95.07037655800588,37.63472501341359
68,129,85.9565603112955,34.031796321831166
69,129,45.11899549319409,30.313627415028492
70,129,67.31213352181342,26.649064039109028
71,129,28.20146595349371,23.610676278772306
72,129,49.89633603103982,19.74827536764271
73,129,42.329868650760716,16.75315286721453
74,129,38.79690159955018,15.355876444261728
75,129,36.43938399751789,14.423190255388553
76,129,65.43073014305989,13.700926923318795
77,129,34.378766732572785,13.60782367876123
78,129,36.50853885526928,14.451406064384782
79,129,41.448157323241475,16.411106814436774
80,129,52.473980104245754,20.7697121001936
81,129,55.72636542790477,23.379595101617404
82,129,37.03161318038184,22.860510562857392
83,129,16.01626372498899,21.827502981649516
84,129,0.0,20.464857280089216
85,129,1.4600968149558469,20.27950862586752
86,129,21.994029391738223,20.591215012033622
87,129,51.03698241196852,24.198320671799802
88,129,83.11782482358865,33.13971448925893
89,129,76.61568228661153,42.75740385053763
90,129,105.57265248263903,41.772607838416704
91,129,99.15364388659498,39.231933170286595
92,129,91.01615226571269,36.01312476670677
93,129,79.03727345779998,31.273097368353444
94,129,69.8798652364907,27.649211255524758
95,129,55.0688833365065,21.79636861933818
96,129,43.0803419762853,17.060039225861257
97,129,36.91926501848286,14.621297191840325
98,129,34.794862757276945,13.7807165869174
99,129,34.98006745362403,13.852985025588925
