rank,bus,nlsi_max,nlsi_mean,nlsi_std
1,14,0.07912237591170636,0.020373949412937523,0.01342563638401516
2,34,0.040854561073795904,0.009330509093044297,0.006304258382857006
3,36,0.018554515736571783,0.004186630484792119,0.002862575343482201
4,35,0.01567856514315307,0.0036939710208324233,0.0025152182960104163
5,1,0.009253093688994017,0.0023142001743215587,0.0015489540874626278
6,37,0.009105903521883209,0.0021128504228286665,0.001447151251348714
7,7,0.0090448977862428,0.0022936634448581595,0.0015304427031314837
8,38,0.007663945803518504,0.0017363502215417752,0.001202405326146164
9,40,0.007444497015035812,0.001635715045094355,0.001136313916506779
10,17,0.00538831660292671,0.0013092977636623296,0.0008860973262010563
11,10,0.005150354582216544,0.00126568371112615,0.0008514595938136397
12,31,0.005049254283323606,0.001266423317850123,0.0008465784484874769
13,33,0.004854553761140864,0.001074740311553769,0.0007382860975096407
14,0,0.004391175123359507,0.0010937897093275923,0.0007347507750652138
15,16,0.00403336404703172,0.0009295188796155098,0.0006334996672572817
16,2,0.0036442972518371712,0.0009008424953650227,0.0006051816036882316
17,11,0.003554748571641856,0.0008763596877437579,0.0005888786067557923
18,5,0.0033637204773882897,0.0008066954948257131,0.0005454231264464174
19,22,0.003251093613957714,0.0008132203422660726,0.0005479369942445358
20,41,0.003054141468979142,0.0006433152854033614,0.00044660527989799246
21,9,0.002985790332667212,0.0007366733148734591,0.0004960903031596137
22,23,0.0028766817904505608,0.0006918248985732129,0.0004680092010007512
23,15,0.0025927518245544823,0.0006378685217944518,0.0004310511565591618
24,30,0.002580225630267617,0.0005686761364561084,0.0003869808403544218
25,32,0.0023056706559396226,0.0005035837829581993,0.00034397446462701116
26,24,0.0020528898920150742,0.00043989814142855787,0.00030295273290516965
27,39,0.0018841126738529629,0.00038596067907545377,0.00027173447799669044
28,42,0.0017327777276204149,0.0003422753600314705,0.0002439780281572192
29,20,0.0015050017869640744,0.0003785706875696329,0.00025248565900552457
30,4,0.0014888674973709728,0.0003389769681446678,0.00023176256567437913
31,25,0.0014501174336780814,0.0002956057389471511,0.00021198386676769853
32,26,0.0012603852569235748,0.0002770611556872489,0.00018889121319633093
33,8,0.0006406881039834256,0.00013361908979232345,9.292164094659621e-05
34,18,0.0006291182828736843,0.00011784084371183485,8.381900673713459e-05
35,19,0.0006153384128155868,0.0001226843031357212,8.519694957631798e-05
36,3,0.00042950813636041834,8.406663461790066e-05,5.90936882313435e-05
37,13,0.0004260619620724364,9.472477291825885e-05,6.470690283995896e-05
38,27,0.0003969825970892284,8.838401540972954e-05,6.098734958831158e-05
39,21,0.00022269347833412146,4.88862005935425e-05,3.356631984246749e-05
40,28,0.0002155234058033534,5.139066533396913e-05,3.48735551119734e-05
41,6,0.00016639303534613287,3.17802309108131e-05,2.2644790782890682e-05
42,12,0.00011813482027139252,2.5313901746637287e-05,1.7369244077576156e-05
43,29,5.3172126715896495e-05,1.2038114155885674e-05,8.199087465865524e-06
