rank,bus,v_min,v_max,spread,max_deviation,v_mean,v_std,severity_score
1,42,0.980853353861453,1.025,0.04414664613854691,0.02499999999999991,1.0141887326762085,0.00720928002006461,0.06914664613854682
2,39,0.9811170271269688,1.025,0.04388297287303111,0.02499999999999991,1.0143146313977272,0.007121633078397838,0.06888297287303102
3,41,0.9811559454609788,1.025,0.04384405453902107,0.02499999999999991,1.014275113501535,0.007151635308339121,0.06884405453902098
4,38,0.9815660262674611,1.025,0.043433973732538766,0.02499999999999991,1.0144120632695524,0.00705743819160746,0.06843397373253868
5,40,0.9817387228172176,1.025,0.043261277182782276,0.02499999999999991,1.0144375129240961,0.007042890354906976,0.06826127718278219
6,37,0.9834521157916788,1.025,0.04154788420832112,0.02499999999999991,1.0148507409300473,0.00676341230195548,0.06654788420832103
7,36,0.985698594812989,1.025,0.03930140518701086,0.02499999999999991,1.015384978488198,0.006404019623769944,0.06430140518701077
8,25,0.9899388053138009,1.025,0.03506119468619906,0.02499999999999991,1.0158625701894308,0.006053572111474137,0.06006119468619897
9,19,0.9902976228807,1.025,0.03470237711929991,0.02499999999999991,1.015937349651131,0.006003021050876086,0.05970237711929982
10,35,0.990302946537308,1.025,0.03469705346269192,0.02499999999999991,1.0164456030833953,0.005689816997332255,0.05969705346269183
11,24,0.9904500000848012,1.025,0.03454999991519869,0.02499999999999991,1.0159683865434475,0.005982222399661991,0.059549999915198604
12,32,0.9909587129410522,1.025,0.03404128705894771,0.02499999999999991,1.0160796973894144,0.005907665628756226,0.05904128705894762
13,6,0.9909929482519512,1.025,0.034007051748048744,0.02499999999999991,1.0160573410008706,0.005922130327330787,0.059007051748048656
14,27,0.9910317781973264,1.025,0.03396822180267356,0.02499999999999991,1.0160653818455165,0.005916747413102839,0.05896822180267347
15,21,0.9911267051325592,1.025,0.03387329486744073,0.02499999999999991,1.0160877459315079,0.005901900927299894,0.05887329486744064
16,4,0.9911755862118742,1.025,0.03382441378812573,0.02499999999999991,1.0161001158098544,0.005893675722936354,0.05882441378812564
17,26,0.9914942017561438,1.025,0.03350579824385613,0.02499999999999991,1.0162071500371792,0.00582265987893164,0.058505798243856044
18,16,0.9915114530102024,1.025,0.03348854698979753,0.02499999999999991,1.0161859034104495,0.005836577183154366,0.05848854698979744
19,30,0.991788415641662,1.025,0.03321158435833793,0.02499999999999991,1.016277275879999,0.005775880334141382,0.05821158435833784
20,17,0.9923920230050522,1.025,0.03260797699494766,0.02499999999999991,1.0164212485176833,0.005679797665324352,0.057607976994947574
21,15,0.9937008813477416,1.025,0.03129911865225832,0.02499999999999991,1.016752930195573,0.005458784696178437,0.05629911865225823
22,34,0.9942075508808338,1.025,0.03079244911916612,0.02499999999999991,1.0173826076110792,0.005060392488293071,0.05579244911916603
23,22,0.994345613219952,1.025,0.03065438678004795,0.02499999999999991,1.0169145384307143,0.005351225707335371,0.05565438678004786
24,10,0.9951547775228324,1.025,0.029845222477167477,0.02499999999999991,1.0171206423637162,0.005214385372795943,0.05484522247716739
25,0,0.996268336449858,1.025,0.028731663550141895,0.02499999999999991,1.0174415938860581,0.005001443981204245,0.053731663550141806
26,3,0.9964958147214316,1.025,0.02850418527856835,0.02499999999999991,1.017572108396651,0.0049140022605159974,0.05350418527856826
27,12,0.9965873359776956,1.025,0.028412664022304357,0.02499999999999991,1.0175934264132955,0.004899933914166246,0.05341266402230427
28,29,0.996608058127406,1.025,0.028391941872593862,0.02499999999999991,1.017599845587645,0.004895691049459447,0.05339194187259377
29,23,0.9966189207573376,1.025,0.02838107924266231,0.02499999999999991,1.0176028982407619,0.004893670589169048,0.05338107924266222
30,11,0.997224732302216,1.025,0.027775267697783934,0.02499999999999991,1.0177190587747327,0.00481753686323032,0.052775267697783845
31,5,0.9972845459294032,1.025,0.027715454070596723,0.02499999999999991,1.0177783989812437,0.004777580551646381,0.052715454070596635
32,2,0.9979931075750332,1.025,0.027006892424966678,0.02499999999999991,1.0179414289314654,0.004670049274376811,0.05200689242496659
33,9,0.9980804907736996,1.025,0.026919509226300264,0.02499999999999991,1.0179831029420139,0.0046419609805513065,0.051919509226300176
34,1,0.9987966310117052,1.025,0.026203368988294673,0.02499999999999991,1.0181700870600077,0.004518383379106769,0.051203368988294584
35,31,1.0009067417983826,1.025,0.02409325820161734,0.02499999999999991,1.0187581395701224,0.004129028927957551,0.04909325820161725
36,7,1.0020717175852665,1.025,0.022928282414733436,0.02499999999999991,1.0190800326402039,0.0039161377662564065,0.04792828241473335
37,18,1.00322422206089,1.025,0.021775777939109897,0.02499999999999991,1.0193854146288794,0.0037173841585507995,0.04677577793910981
38,8,1.0033282175178098,1.025,0.02167178248219015,0.02499999999999991,1.0194153733923206,0.003697169059347686,0.04667178248219006
39,33,1.003443926521915,1.025,0.02155607347808486,0.02499999999999991,1.0194493456810012,0.0036743758877860857,0.04655607347808477
40,20,1.0041736262472662,1.025,0.020826373752733662,0.02499999999999991,1.0196636175425937,0.0035305058500778967,0.045826373752733573
41,13,1.004386633477626,1.025,0.020613366522374,0.02499999999999991,1.0197227528350357,0.0034916813513441174,0.04561336652237391
42,28,1.00447152688475,1.025,0.020528473115249968,0.02499999999999991,1.019746846760633,0.00347561515025379,0.04552847311524988
43,14,1.004520296909864,1.025,0.020479703090135803,0.02499999999999991,1.019759918566626,0.003466923145988502,0.045479703090135715
44,129,1.025,1.025,0.0,0.02499999999999991,1.025,0.0,0.02499999999999991
