bus,installed,Pmax_kW,Emax_kWh
0,1,79.4790734744247,317.9162938976988
1,1,81.0630452005912,324.2521808023648
2,1,80.67716809385632,322.7086723754253
3,1,79.99130048885094,319.96520195540376
4,1,78.3842165097194,313.5368660388776
5,1,80.37434443468157,321.4973777387263
6,1,78.86437260593856,315.4574904237542
7,1,82.85272991150231,331.41091964600923
8,1,177.16338038107818,708.6535215243127
9,1,80.9023683252225,323.60947330089
10,1,79.87589104214494,319.50356416857977
11,1,80.18621149979933,320.7448459991973
12,1,80.27780246461312,321.11120985845247
13,1,176.21124717012574,704.844988680503
14,1,166.24632097849607,664.9852839139843
15,1,79.4741623692053,317.8966494768212
16,1,78.63173900986625,314.526956039465
17,1,79.62186538646394,318.48746154585575
18,1,175.4971547817302,701.9886191269208
19,1,78.84165576040368,315.36662304161473
20,1,84.64266555792274,338.57066223169096
21,1,78.83682201037273,315.3472880414909
22,1,79.51110751079729,318.04443004318915
23,1,80.38502099423098,321.54008397692394
24,1,79.25545521580142,317.0218208632057
25,1,78.93546946776759,315.74187787107036
26,1,79.71850657376025,318.874026295041
27,1,78.92806374118636,315.71225496474545
28,1,174.34609409942394,697.3843763976957
29,1,80.78688815424997,323.14755261699986
30,1,78.85586809376176,315.423472375047
31,1,82.72554941255063,330.90219765020254
32,1,78.7657717187067,315.0630868748268
33,1,173.65225972590642,694.6090389036257
34,1,178.79888238216077,715.1955295286431
35,1,178.2885019336907,713.1540077347628
36,1,172.75720590031284,691.0288236012514
37,1,173.58475288317422,694.3390115326969
38,1,173.22966672255836,692.9186668902335
39,1,172.52685298438192,690.1074119375277
40,1,172.89689222569342,691.5875689027737
41,1,172.0795220996729,688.3180883986915
42,1,172.16790872526502,688.6716349010601
