time,bus,P_sub_kW,Q_sub_kVar
0,129,45.77540169296057,18.102891676646195
1,129,43.3003385484092,17.1242907393764
2,129,39.44163690845315,15.600718648030815
3,129,33.292213526753045,13.169174410097053
4,129,30.410853180427466,12.031897864172906
5,129,29.09758032538079,11.503338660501107
6,129,30.463770515460453,12.05513889744059
7,129,33.090097104995664,13.095423490030695
8,129,38.5522172128141,15.255751880202697
9,129,42.446778079511915,17.140092092082824
10,129,33.85120758569471,16.575044863783315
11,129,21.349628820832578,15.427895680561686
12,129,15.804676370805737,15.320579188431594
13,129,16.757130592573333,15.178811507467262
14,129,30.130374728347675,17.747813087975924
15,129,51.612696639551814,22.024259884277388
16,129,69.30704009677768,27.442741007842837
17,129,86.77922270581817,34.31072484620304
18,129,86.06523618424688,34.028527106709845
19,129,79.27046627239065,31.34263419002602
20,129,71.09893355285024,28.11348375950238
21,129,60.78487993728743,24.035545346911594
22,129,53.4058575512546,21.117187229241317
23,129,43.94305259156539,17.37682792286185
24,129,39.93246669492834,15.791725588581697
25,129,35.71929595335632,14.126155412847258
26,129,31.937948340601707,12.632826206446412
27,129,30.265802514300333,11.9723304872098
28,129,29.741699627841456,11.764797617787696
29,129,31.477617514664047,12.452389198254439
30,129,35.98421375743044,14.23466236527015
31,129,70.2370954144449,27.767044857500796
32,129,83.70777054803469,33.09256082313797
33,129,90.09934922165641,35.76845457237693
34,129,71.83862241191719,30.01276291164161
35,129,53.287372272897926,24.409557749842158
36,129,52.76117996967855,24.998239004396805
37,129,56.809680501203275,26.355892583628727
38,129,66.60057010720166,28.720816360713446
39,129,85.13226512499728,34.153959449349514
40,129,112.35845812619516,44.42205490315418
41,129,151.72076116940048,59.97227756339615
42,129,140.5867169428383,55.571446791412875
43,129,131.13657596350947,51.835750659532295
44,129,119.99170637032108,47.4320215559605
45,129,69.54408551372637,27.504709956846245
46,129,60.7957236350245,24.044404748929065
47,129,52.285339010591514,20.678968570854682
48,129,44.66717300714507,17.66765426999201
49,129,38.085471774934376,15.06482512710593
50,129,32.716438393542546,12.943938727512611
51,129,29.5611426939395,11.693791188283228
52,129,29.19612264632576,11.549494074826207
53,129,29.431047175439318,11.643466533843236
54,129,32.42707735907757,12.829464938867458
55,129,38.54966493317136,15.25004836345999
56,129,46.7986330091108,18.511789969633586
57,129,50.23729889742157,20.361081513128266
58,129,37.53784256490533,18.96492849024965
59,129,22.098227213412258,16.813632597792424
60,129,18.677501039498168,17.455923887991915
61,129,20.250154321033165,17.745421024507454
62,129,33.59435505821651,20.120237441227122
63,129,57.73288071119609,25.051513198466843
64,129,76.99336191966921,30.52338190623503
65,129,99.87277168017883,39.49352644716685
66,129,96.13522432060151,38.017508576640175
67,129,86.50319889009239,34.21338637583053
68,129,78.2167485648202,30.93799665621015
69,129,69.67115004721336,27.557843104571358
70,129,61.24982724128358,24.226421853735477
71,129,54.270646829586155,21.464251162520277
72,129,45.3951903307761,17.95297760694792
73,129,38.51076948009435,15.230138970195025
74,129,35.29781842345159,13.959887676601573
75,129,33.15345777515688,13.11199114126232
76,129,31.494081117063644,12.455388112107995
77,129,31.279006524211894,12.370748798873846
78,129,33.21748865592156,13.137641876713436
79,129,37.71735352567873,14.91918801312434
80,129,47.741991609402845,18.881556454721455
81,129,52.36038713379543,21.254177365106727
82,129,43.98404093413433,20.78228232987036
83,129,34.00389120535863,19.84318452877229
84,129,24.730778009715237,18.604415709172013
85,129,26.046764044394877,18.435916932606837
86,129,34.92296146825069,18.719286374576022
87,129,51.44974555901527,21.99847333799982
88,129,75.92446134989217,30.12701317205357
89,129,98.29868753626059,38.870367136852394
90,129,96.03444286220508,37.97509803492427
91,129,90.19432918909587,35.66539379116963
92,129,82.79312104894743,32.739204333369784
93,129,71.89625425397139,28.430088516684954
94,129,63.565523547811864,25.135646595931586
95,129,50.10215737608803,19.81488056303471
96,129,39.20580906878968,15.509126568964776
97,129,33.60017870316767,13.292088356218478
98,129,31.667741091983004,12.527924169924907
99,129,31.83494616948579,12.593622750535388
100,129,32.38431845591094,12.811875816425784
101,129,36.08577222586007,14.276696152917271
102,129,41.96988405108115,16.6026840176807
103,129,78.59847064061398,31.072136626623415
104,129,88.76701566636669,35.09188554819685
105,129,92.68839207410551,36.88842996615372
106,129,75.94888902191599,32.0532999751361
107,129,55.5178924154589,25.945376651171284
108,129,51.91052903310833,25.235136693921135
109,129,51.87250882746852,24.814933843027163
110,129,56.07783525052312,25.305379825588215
111,129,79.26965501440364,32.30878664656275
112,129,110.27459830284059,43.606299686255376
