bus,installed,Pmax_kW,Emax_kWh
0,1,0.0,0.0
1,1,0.12263137680360177,0.4905255072144071
2,1,0.0,0.0
3,1,0.0,0.0
4,1,0.0,0.0
5,1,0.5667920795757979,2.2671683183031917
6,1,0.0,0.0
7,1,0.09235331222054255,0.3694132488821702
8,1,0.5277949356267857,2.111179742507143
9,1,0.7371438855005585,2.948575542002234
10,1,0.6040354580030002,2.4161418320120007
11,1,0.9798999477772917,3.919599791109167
12,1,0.0,0.0
13,1,0.39707127573199014,1.5882851029279605
14,1,0.6876599762222703,2.750639904889081
15,1,0.5845073604189557,2.3380294416758227
16,1,0.0,0.0
17,1,0.0,0.0
18,1,0.0,0.0
19,1,0.6205913281077933,2.482365312431173
20,1,1.043275197679016,4.173100790716064
21,1,0.0,0.0
22,1,0.0,0.0
23,1,1.147827503055024,4.591310012220096
24,1,0.0,0.0
25,1,0.5477632361713742,2.191052944685497
26,1,0.0,0.0
27,1,0.21832266296872974,0.8732906518749189
28,1,0.0,0.0
29,1,0.8219808550266633,3.287923420106653
30,1,0.0,0.0
31,1,0.6270270782642138,2.508108313056855
32,1,0.0,0.0
33,1,0.0,0.0
34,1,0.0,0.0
35,1,0.0,0.0
36,1,0.01935351649117302,0.07741406596469208
37,1,0.2625730038843642,1.0502920155374569
38,1,0.505133810811982,2.020535243247928
39,1,0.898275381076525,3.5931015243061
42,1,1.2768759589251182,5.107503835700473
