time,bus,P_sub_kW,Q_sub_kVar
0,129,45.74730000983607,18.102891676646195
1,129,43.273205888841204,17.1242907393764
2,129,39.41062815466623,15.600718648030815
3,129,33.264111843632094,13.169174410097053
4,129,30.378875403076933,12.031897864172906
5,129,29.092996823408157,11.503338660501107
6,129,30.425978596781533,12.05513889744059
7,129,33.04649104497415,13.095423490030695
8,129,38.50473505856655,15.255751880202697
9,129,41.52620570133436,17.140092092082824
10,129,25.764706011074168,16.575044863783315
11,129,3.6639799007147644,15.427895680561686
12,129,0.0,15.320579188431594
13,129,0.0,15.178811507467262
14,129,15.35567257038295,17.747813087975924
15,129,47.50016066799034,22.024259884277388
16,129,69.17912898739331,27.442741007842837
17,129,86.74627590491824,34.31072484620304
18,129,86.03228938334695,34.028527106709845
19,129,79.23848849505077,31.34263419002602
20,129,71.0659867519503,28.11348375950238
21,129,60.75580923060642,24.035545346911594
22,129,53.381631962356124,21.117187229241317
23,129,43.91979602621987,17.37682792286185
24,129,39.90921012958282,15.791725588581697
25,129,35.697008411574416,14.126155412847258
26,129,31.91275372815383,12.632826206446412
27,129,30.239638878288844,11.9723304872098
28,129,29.716505015386474,11.764797617787696
29,129,31.44854680797593,12.452389198254439
30,129,35.95223598008346,14.23466236527015
31,129,70.21868396688546,27.767044857500796
32,129,83.68548300624923,33.09256082313797
33,129,89.69817346948261,35.76845457237693
34,129,67.73965277013971,30.01276291164161
35,129,44.81423029944409,24.409557749842158
36,129,42.2724689997942,24.998239004396805
37,129,46.93436144225416,26.355892583628727
38,129,60.53254459967761,28.720816360713446
39,129,83.84927793688135,34.153959449349514
40,129,112.32163523106564,44.42205490315418
41,129,151.70138069828099,59.97227756339615
42,129,140.56830549527533,55.571446791412875
43,129,131.12010256305595,51.835750659532295
44,129,119.97232589920515,47.4320215559605
45,129,69.49660335948238,27.504709956846245
46,129,60.755024645672506,24.044404748929065
47,129,52.249485139022056,20.678968570854682
48,129,44.63228815912146,17.66765426999201
49,129,38.054463021147455,15.06482512710593
50,129,32.6825225690861,12.943938727512611
51,129,29.534979057931565,11.693791188283228
52,129,29.16995901031072,11.549494074826207
53,129,29.401976468758306,11.643466533843236
54,129,32.39316153462113,12.829464938867458
55,129,38.5138110616019,15.25004836345999
56,129,46.758903043315314,18.511789969633586
57,129,48.95721877997872,20.361081513128266
58,129,27.090799607922378,18.96492849024965
59,129,1.6547372529842619,16.813632597792424
60,129,0.0,17.455923887991915
61,129,0.0,17.745421024507454
62,129,16.28081118359148,20.120237441227122
63,129,52.08056630918634,25.051513198466843
64,129,76.7569201720093,30.52338190623503
65,129,99.8194753846029,39.49352644716685
66,129,96.07902095435605,38.017508576640175
67,129,86.44021235895494,34.21338637583053
68,129,78.15473105723925,30.93799665621015
69,129,69.61591570452086,27.557843104571358
70,129,61.20234508704314,24.226421853735477
71,129,54.23285491090368,21.464251162520277
72,129,45.36611962409509,17.95297760694792
73,129,38.48654389119943,15.230138970195025
74,129,35.274561858113174,13.959887676601573
75,129,33.13117023336787,13.11199114126232
76,129,31.473731622387646,12.455388112107995
77,129,31.25768800597939,12.370748798873846
78,129,33.19423209057959,13.137641876713436
79,129,37.68634477188826,14.91918801312434
80,129,47.710013832055864,18.881556454721455
81,129,50.943674694952534,21.254177365106727
82,129,35.38492589839848,20.78228232987036
83,129,17.80084832588713,19.84318452877229
84,129,2.3889709031372774,18.604415709172013
85,129,5.447261291454453,18.435916932606837
86,129,22.482637056633337,18.719286374576022
87,129,47.23933820829629,21.99847333799982
88,129,75.62212600042884,30.12701317205357
89,129,98.24829831135062,38.870367136852394
90,129,95.98502266085163,37.97509803492427
91,129,90.14878508196844,35.66539379116963
92,129,82.75048401248952,32.739204333369784
93,129,71.85943135884543,28.430088516684954
94,129,63.53354577046488,25.135646595931586
95,129,50.06921057518454,19.81488056303471
96,129,39.17092422077317,15.509126568964776
97,129,33.56916994938075,13.292088356218478
98,129,31.637701361749038,12.527924169924907
99,129,31.80587546280833,12.593622750535388
100,129,32.35234067856396,12.811875816425784
101,129,36.048949330734104,14.276696152917271
102,129,41.93209213239868,16.6026840176807
103,129,78.57909016949449,31.072136626623415
104,129,88.74569714813774,35.09188554819685
105,129,92.04302238582684,36.88842996615372
106,129,70.79755979835056,32.0532999751361
107,129,45.38965820839991,25.945376651171284
108,129,39.972158823484705,25.235136693921135
109,129,40.95936554007196,24.814933843027163
110,129,48.12893502084847,25.305379825588215
111,129,76.79283080533494,32.30878664656275
112,129,110.21839493659158,43.606299686255376
113,129,151.94310939165234,60.06825992738361
114,129,140.97447611355207,55.73297465538455
115,129,131.8609069676704,52.13090555367965
