time,bus,P_sub_kW,Q_sub_kVar
0,129,50.25653956431808,24.623393208971347
1,129,46.833980609869094,32.14911819949285
2,129,42.23549493290213,30.966304042262976
3,129,36.13574127465707,28.555093071916065
4,129,32.50843126246106,27.12194822514015
5,129,31.35470398205986,18.417352685756335
6,129,33.01281610367251,27.322074564602428
7,129,35.223308359989716,28.196480271731243
8,129,40.781773027189104,30.393916388687458
9,129,46.305638385607864,32.69087643662345
10,129,42.72772068714053,33.47835208765991
11,129,35.9210311578379,30.76985927710482
12,129,33.63042444976916,31.819671505507422
13,129,34.14215101054141,31.851189817354374
14,129,43.24199894011033,33.28429620100347
15,129,58.32221633686496,35.95341172637564
16,129,74.37094002937611,40.50922249211633
17,129,92.50809924056603,35.61581061676368
18,129,92.38696897360843,35.56793832404269
19,129,85.68978392142512,41.16523059441708
20,129,78.5514182303208,38.34406826375626
21,129,68.05915529647211,39.270171774698795
22,129,59.96006238601681,40.50770474159343
23,129,49.67719489224026,35.80920182799899
24,129,44.81667003166334,31.985548032865665
25,129,39.876987657498034,31.301432588613544
26,129,35.87621750450215,29.72056779673892
27,129,33.9160925343176,28.945976223120653
28,129,33.45671458684451,33.203582130638125
29,129,34.9697523532509,33.80209087277907
30,129,39.766858040590655,31.259170889111612
31,129,76.26126110268955,37.436916106707535
32,129,91.12139213537101,35.06621722180568
33,129,98.27802514526302,37.944194446127995
34,129,81.58077805124347,40.070857689730424
35,129,65.70634936680526,43.87918325453066
36,129,66.9254602660736,44.623535539713004
37,129,70.96504931105385,42.9693277769044
38,129,78.47890031505183,39.101458667990265
39,129,95.62878617776171,45.2565955347213
40,129,123.79584070562433,47.98265998226711
41,129,166.3274915508014,62.88801893330515
42,129,155.26771177537378,58.51667486902268
43,129,144.27427295356367,54.17133103976269
44,129,132.5298540355425,49.5297161359054
45,129,76.92286384584158,37.702314234824144
46,129,67.69909921748085,34.0558069388877
47,129,58.45197972410454,38.6448220391639
48,129,50.112023087067136,35.34839058869274
49,129,42.6511696465216,31.13069990345745
50,129,36.65851485392563,28.762521522723937
51,129,33.377700699397494,27.464782314986763
52,129,32.616030033924716,26.529529738169042
53,129,32.54570838741072,32.84395848063818
54,129,35.72353096278419,34.100583114970384
55,129,42.40884238081976,31.035450639398203
56,129,52.4927544166216,36.28985676845747
57,129,58.34461551766146,35.59336154580109
58,129,51.49701590626316,37.25171937332393
59,129,41.757034863544426,33.4356233858902
60,129,41.83768156886553,33.49044838009305
61,129,42.66076414748354,34.34051038230356
62,129,50.4929738439901,37.74910015618947
63,129,65.28283200506968,38.9048800562862
64,129,82.38197168587924,39.884381566194286
65,129,104.97649247081998,40.546209429044566
66,129,100.5255177522617,38.78733968351379
67,129,90.81743942235587,43.195741192060815
68,129,82.89486857582651,40.064359113074836
69,129,73.81536709284204,36.47493556093776
70,129,65.34851074500791,38.20102023989103
71,129,57.808329797776835,23.170054522143325
72,129,47.976234429521426,34.50339595199458
73,129,41.35175348364339,30.616150513306398
74,129,37.73365305187831,28.551824579601725
75,129,35.58220105105392,31.506468744135415
76,129,33.69276464161497,33.29618004828403
77,129,33.50184630655612,26.878988818757193
78,129,36.143713581304304,27.923396505916667
79,129,41.03388501235228,30.491378197303067
80,129,52.091040690074365,36.13007889784189
81,129,58.64581429123594,38.90114461476104
82,129,54.95927235331271,38.37943292827216
83,129,49.39988912800414,37.172459974784616
84,129,44.146641525118156,34.627299098824125
85,129,44.01342475898912,34.34776685050607
86,129,47.30311770259793,35.85373200822872
87,129,58.55305826583695,39.22834273177782
88,129,81.28452078243842,39.459281850377714
89,129,104.87001617998703,40.50389879681866
90,129,102.7746915093597,39.675634232073364
91,129,96.18412708966606,37.070263356253186
92,129,89.0191032299375,42.482446975649765
93,129,78.57203454724655,38.352585393144416
94,129,69.45908148448731,34.75019943144536
95,129,55.543380499725906,37.49473469383326
96,129,44.17177716383053,33.000530746036056
97,129,37.61345608453276,29.13957379007662
98,129,35.336784443372736,28.239626609664562
99,129,34.94091749457717,28.083049354033793
100,129,35.09476409559048,28.1442166806317
101,129,38.178352996604325,29.363599736309244
102,129,44.465045690317396,31.84849251605483
103,129,84.06262403750675,40.52056783747942
104,129,95.39055236764088,44.998168981867
105,129,99.64768102910504,38.517603285543366
106,129,85.0216741816524,41.568041383243006
107,129,68.37148545458305,35.63537840847808
108,129,66.1984495762169,35.01229451385648
109,129,65.50934645254203,34.606431985130605
110,129,68.52818588722576,35.41350314256437
111,129,89.84510443411209,43.126194376533924
112,129,123.52495236721361,47.8782349054172
113,129,169.8151822361834,64.26679938903523
114,129,158.59116365165116,59.83049324899583
115,129,149.026553852598,56.05002715612278
116,129,135.0794030704473,50.537447420682305
117,129,77.7162559485205,38.015419089072616
118,129,68.6561741686343,34.433985415788726
119,129,56.61484609293721,34.74814028313065
120,129,45.513287886192636,33.5304030334664
121,129,39.73369041175068,29.976994053752513
122,129,37.232945555782216,28.988575231634993
123,129,36.23712677287416,28.595006119755997
124,129,36.63377451031252,28.75163751499441
125,129,38.93672629124983,29.66224823067112
126,129,46.265573074187884,32.559901627845136
127,129,87.81982731713146,42.00538185650552
128,129,97.49301973075164,37.590079431608956
129,129,89.49462424566462,34.56157447340565
130,129,76.59262645333898,38.324545639383985
131,129,66.86181544283853,35.22695715135324
132,129,68.01075957531816,36.02828351233378
133,129,65.28697858658289,37.391145048551685
134,129,67.7449853346701,35.25883001889533
135,129,88.50691852964331,42.67779214894403
136,129,129.13490796866245,48.19784589877609
137,129,174.29496210195717,66.03699196642563
138,129,165.54393433401847,59.40724261043516
139,129,154.99253574430693,55.23687705910348
140,129,141.3715644453142,53.02436576510991
141,129,83.45885253071795,40.2866505972518
142,129,75.6897388093316,37.21598620675709
143,129,63.434261991404284,37.44433290389873
144,129,51.70848214387408,37.24777134534358
145,129,44.093647438541495,33.60304298332056
146,129,41.03190452471872,32.39266646111529
147,129,39.098128807644684,35.43359789091562
148,129,37.68597733183332,34.87535088741004
149,129,38.967563158769146,35.38180699145507
150,129,44.7488911161073,33.228212223649315
151,129,84.21839329717746,32.337048237680506
152,129,96.26252950980546,35.19795666475611
153,129,94.155388928579,32.55514452968422
154,129,79.30855699982764,39.40851025827034
155,129,66.01718681131774,42.388739098598016
156,129,66.20020415305584,41.452394066388344
157,129,62.84245744653594,43.129243290444855
158,129,67.53788567561713,41.28284090216646
159,129,86.63690371495069,44.34273821901792
160,129,124.30282356052635,46.286861821302246
161,129,168.17152389842295,64.25028911773883
162,129,158.21964308126846,57.78015137921736
163,129,145.66291227746953,54.719600781772684
164,129,133.34933444628206,49.852716636360796
165,129,79.73747314822438,38.81246228140943
